company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
848,159,13,0.0036675835625573057,0.25791719543147207,2023-01-20,15,56,0.0013863822805578344
536,157,26,0.002333916812536467,0.1,2023-01-20,15,5,0.00011484823625922889
515,159,15,0.002250562640660165,0.25791719543147207,2023-01-20,15,56,8.203445447087777e-06
334,148,6,0.0015837292656497456,0.27,2023-01-20,6,56,0.0005250205086136178
124,159,10,0.006418271234475285,0.25791719543147207,2023-01-20,0,56,0.002797374897456932
431,24,15,0.006418271234475285,0.7,2023-01-20,6,56,0.0012797374897456932
1048,184,6,0.006418271234475285,0.25791719543147207,2023-01-20,5,56,0.0007465135356849878
1630,99,2,0.006418271234475285,0.25791719543147207,2023-01-20,0,56,0.0012838392124692372
1841,92,26,0.006418271234475285,0.25791719543147207,2023-01-20,0,56,0.0005086136177194422
273,184,10,0.09143952654830373,0.25791719543147207,2023-01-19,1,56,0.0012838392124692372
1277,148,30,0.024756189047261814,0.25791719543147207,2023-01-19,1,56,0.009844134536505332
1785,126,24,0.024756189047261814,0.25791719543147207,2023-01-19,1,56,0.18211648892534865
756,148,22,0.00933566725014587,0.35,2023-01-19,5,56,0.00125512715340443
1385,126,26,0.008085354672001334,0.05,2023-01-19,15,56,0.007916324856439705
259,8,17,0.004917896140701841,0.09,2023-01-19,1,56,0.0019114027891714521
1354,99,2,0.003584229390681003,0.25791719543147207,2023-01-19,0,56,0.00017227235438884334
763,24,11,0.002250562640660165,0.25791719543147207,2023-01-19,7,56,0.002206726825266612
506,121,30,0.006418271234475285,1.0,2023-01-19,15,56,1.6406890894175555e-05
564,148,21,0.006418271234475285,0.25791719543147207,2023-01-19,8,56,0.0011894995898277278
765,138,14,0.006418271234475285,0.25791719543147207,2023-01-19,15,56,0.00017227235438884334
770,159,17,0.006418271234475285,0.25791719543147207,2023-01-19,15,56,0.004273995077932732
977,99,20,0.006418271234475285,0.06,2023-01-19,1,56,0.003281378178835111
1057,108,24,0.006418271234475285,0.7,2023-01-19,4,56,0.0001066447908121411
1217,148,15,0.006418271234475285,0.3,2023-01-19,1,56,0.00184577522559475
1268,148,6,0.006418271234475285,0.28,2023-01-19,5,56,0.00045939294503691557
1495,170,10,0.006418271234475285,0.25791719543147207,2023-01-19,4,1,0.0003363412633305989
1769,11,8,0.006418271234475285,0.15,2023-01-19,1,49,0.0013699753896636588
1021,159,22,0.8332916562473952,0.05,2023-01-18,1,56,8.203445447087777e-06
1489,133,28,0.037259314828707174,0.1,2023-01-18,0,56,0.001025430680885972
1589,126,15,0.024756189047261814,0.06,2023-01-18,1,56,0.0014109926168990978
1765,126,30,0.022672334750354253,0.2,2023-01-18,1,56,0.010664479081214111
13,148,29,0.012669834125197966,0.07,2023-01-18,1,56,0.0020754716981132076
1174,126,10,0.01141952154705343,0.2,2023-01-18,1,56,0.004684167350287121
153,35,22,0.011169459031424522,0.14,2023-01-18,15,7,0.0005660377358490566
803,50,31,0.008835542218888055,0.12,2023-01-18,1,56,0.001468416735028712
836,25,28,0.008085354672001334,0.12,2023-01-18,9,56,0.0034126333059885153
1890,186,10,0.008085354672001334,0.07,2023-01-18,1,56,0.009023789991796555
1510,24,22,0.008085354672001334,0.24,2023-01-18,1,56,0.002132895816242822
744,179,20,0.005584729515712261,0.07,2023-01-18,6,7,0.002461033634126333
357,18,15,0.002333916812536467,0.31,2023-01-18,15,17,0.00038556193601312555
31,148,10,0.0014170209218971408,0.03,2023-01-18,9,56,0.004027891714520099
12,41,12,0.006418271234475285,0.1,2023-01-18,15,56,0.002255947497949139
